,country_name,independent,un_member,start_Of_Week,official_country_name,common_native_name,idd_root,idd_suffixes,capital,region,sub_region,languages,area,population,continents,currencies
233,Comoros,True,True,monday,Union of the Comoros,,+2,['69'],['Moroni'],Africa,Eastern Africa,"French, Arabic, Comorian",1862.0,869595,['Africa'],"Comorian franc, Fr"
234,Guam,False,False,monday,Guam,Guam,+1,['671'],['Hagåtña'],Oceania,Micronesia,"English, Spanish, Chamorro",549.0,168783,['Oceania'],"United States dollar, $"
235,Tonga,True,True,monday,Kingdom of Tonga,Tonga,+6,['76'],"[""Nuku'alofa""]",Oceania,Polynesia,"English, Tongan",747.0,105697,['Oceania'],"Tongan paʻanga, T$"
236,Kiribati,True,True,monday,Independent and Sovereign Republic of Kiribati,Kiribati,+6,['86'],['South Tarawa'],Oceania,Micronesia,"English, Gilbertese",811.0,119446,['Oceania'],"Australian dollar, $, Kiribati dollar, $"
237,Ghana,True,True,monday,Republic of Ghana,Ghana,+2,['33'],['Accra'],Africa,Western Africa,English,238533.0,31072945,['Africa'],"Ghanaian cedi, ₵"
238,Chad,True,True,monday,Republic of Chad,,+2,['35'],"[""N'Djamena""]",Africa,Middle Africa,"French, Arabic",1284000.0,16425859,['Africa'],"Central African CFA franc, Fr"
239,Zimbabwe,True,True,monday,Republic of Zimbabwe,Zimbabwe,+2,['63'],['Harare'],Africa,Southern Africa,"English, Sotho, Tswana, Tsonga, Venda, Xhosa, Chewa, Chibarwe, Kalanga, Khoisan, Ndau, Northern Ndebele, Shona, Tonga, Zimbabwean Sign Language",390757.0,14862927,['Africa'],"Zimbabwean dollar, $"
240,Saint Martin,False,False,monday,Saint Martin,,+5,['90'],['Marigot'],Americas,Caribbean,French,53.0,38659,['North America'],"Euro, €"
241,Mongolia,True,True,monday,Mongolia,,+9,['76'],['Ulan Bator'],Asia,Eastern Asia,Mongolian,1564110.0,3278292,['Asia'],"Mongolian tögrög, ₮"
242,Portugal,True,True,monday,Portuguese Republic,,+3,['51'],['Lisbon'],Europe,Southern Europe,Portuguese,92090.0,10305564,['Europe'],"Euro, €"
243,American Samoa,False,False,monday,American Samoa,American Samoa,+1,['684'],['Pago Pago'],Oceania,Polynesia,"English, Samoan",199.0,55197,['Oceania'],"United States dollar, $"
244,Republic of the Congo,True,True,monday,Republic of the Congo,,+2,['42'],['Brazzaville'],Africa,Middle Africa,"French, Kikongo, Lingala",342000.0,5657000,['Africa'],"Central African CFA franc, Fr"
245,Belgium,True,True,monday,Kingdom of Belgium,,+3,['2'],['Brussels'],Europe,Western Europe,"French, Dutch, German",30528.0,11555997,['Europe'],"Euro, €"
246,Israel,True,True,sunday,State of Israel,,+9,['72'],['Jerusalem'],Asia,Western Asia,"Arabic, Hebrew",20770.0,9216900,['Asia'],"Israeli new shekel, ₪"
247,New Zealand,True,True,monday,New Zealand,New Zealand,+6,['4'],['Wellington'],Oceania,Australia and New Zealand,"English, Māori, New Zealand Sign Language",270467.0,5084300,['Oceania'],"New Zealand dollar, $"
248,Nicaragua,True,True,monday,Republic of Nicaragua,,+5,['05'],['Managua'],Americas,Central America,Spanish,130373.0,6624554,['North America'],"Nicaraguan córdoba, C$"
249,Anguilla,False,False,monday,Anguilla,Anguilla,+1,['264'],['The Valley'],Americas,Caribbean,English,91.0,13452,['North America'],"Eastern Caribbean dollar, $"
